ERROR 2013-01-23 09:09:00,410 ===> Error message
INFO  2013-01-23 11:12:44,255 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-23 11:13:02,667 ===> Case [sp-232] is from class [hadromerida] according to KNN
INFO  2013-01-23 11:13:07,653 ===> Case [sp-101] is from class [hadromerida] according to KNN
ERROR 2013-01-24 11:08:49,309 ===> TEST ERROR
INFO  2013-01-24 11:30:05,590 ===> Loading UNCLE_DATASET_BOTH ...
INFO  2013-01-24 11:30:06,011 ===> OK
INFO  2013-01-24 11:32:06,842 ===> Loading UNCLE_DATASET ...
INFO  2013-01-24 11:32:07,140 ===> OK
INFO  2013-01-24 11:52:30,416 ===> Loading UNCLE_DATASET ...
INFO  2013-01-24 11:52:30,722 ===> OK
INFO  2013-01-24 11:52:33,182 ===> Loading DEMOSPONGIAE_280_DATASET ...
INFO  2013-01-24 11:52:34,861 ===> OK
INFO  2013-01-24 11:52:37,941 ===> Loading TOXICOLOGY_DATASET_FMICE  ...
INFO  2013-01-24 11:52:40,461 ===> OK
INFO  2013-01-24 11:52:43,779 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-24 11:52:53,612 ===> Inductive: loading MUTAGENESIS_NOL_DISCRETIZED
INFO  2013-01-24 11:53:03,423 ===> Loading MUTAGENESIS_NOL_DISCRETIZED ...
INFO  2013-01-24 11:53:05,004 ===> OK
INFO  2013-01-24 11:53:06,471 ===> Loading MUTAGENESIS_EASY_NOL_DISCRETIZED ...
INFO  2013-01-24 11:53:07,829 ===> OK
INFO  2013-01-24 11:53:09,734 ===> Loading FINANCIAL_NO_TRANSACTIONS ...
INFO  2013-01-24 11:53:10,036 ===> OK
INFO  2013-01-24 11:53:12,704 ===> Loading RIU_STORIES ...
INFO  2013-01-24 11:53:12,945 ===> OK
INFO  2013-01-24 11:53:14,178 ===> Loading SOYBEAN_DATASET ...
INFO  2013-01-24 11:53:14,926 ===> OK
INFO  2013-01-24 11:53:16,537 ===> Loading TRAINS_900_DATASET ...
INFO  2013-01-24 11:53:18,659 ===> OK
INFO  2013-01-24 12:08:11,252 ===> Loading UNCLE_DATASET ...
INFO  2013-01-24 12:08:11,550 ===> OK
INFO  2013-01-24 12:11:41,798 ===> Loading UNCLE_DATASET ...
INFO  2013-01-24 12:11:42,098 ===> OK
INFO  2013-01-24 12:13:51,264 ===> Loading UNCLE_DATASET ...
INFO  2013-01-24 12:13:51,561 ===> OK
INFO  2013-01-24 12:16:42,389 ===> Loading UNCLE_DATASET ...
INFO  2013-01-24 12:16:42,690 ===> OK
INFO  2013-01-24 12:17:13,238 ===> Case e11
INFO  2013-01-24 12:23:56,936 ===> Loading UNCLE_DATASET ...
INFO  2013-01-24 12:23:57,246 ===> OK
INFO  2013-01-24 12:24:09,044 ===> Case e4
INFO  2013-01-24 12:35:00,906 ===> Loading UNCLE_DATASET_BOTH ...
INFO  2013-01-24 12:35:01,101 ===> OK
INFO  2013-01-24 12:35:02,650 ===> Loading MUTAGENESIS_NOL_DISCRETIZED ...
INFO  2013-01-24 12:35:04,393 ===> OK
INFO  2013-01-24 12:35:30,775 ===> Lazy methods: loading TRAINS_82_DATASET
INFO  2013-01-24 12:35:46,677 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:46,677 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:51,461 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:51,461 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:51,515 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:51,515 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:54,703 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:54,703 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:57,765 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:57,765 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:57,836 ===> K should be a value from 1 to 5.
INFO  2013-01-24 12:35:57,836 ===> K should be a value from 1 to 5.
INFO  2013-01-24 16:13:13,003 ===> Amalgam demo [Demos, TRAINS_82_DATASET, 0] has 2 result/s
INFO  2013-01-24 16:13:18,292 ===> Disintegration demo [Demos, TRAINS_DATASET, 2] has 41 result/s
INFO  2013-01-24 16:17:48,892 ===> Disintegration demo [Demos, ZOOLOGY_DATASET, 0] has 34 result/s
INFO  2013-01-24 16:18:20,828 ===> Disintegration demo [Demos, ZOOLOGY_DATASET, 0] has 34 result/s
INFO  2013-01-24 16:19:46,115 ===> Disintegration demo [Demos, UNCLE_DATASET, 1] has 15 result/s
INFO  2013-01-24 16:23:07,603 ===> Disintegration demo [Demos, UNCLE_DATASET, 1] has 15 result/s
INFO  2013-01-24 16:24:06,925 ===> Disintegration demo [Demos, UNCLE_DATASET, 1] has 15 result/s
INFO  2013-01-24 16:25:06,101 ===> Disintegration demo [Demos, UNCLE_DATASET, 1] has 15 result/s
INFO  2013-01-24 16:26:36,416 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-24 16:26:41,647 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-24 16:26:43,853 ===> Correct cases: 38.88889%. You can now load a class to show.
INFO  2013-01-24 16:26:43,853 ===> Correct cases: 38.88889%. You can now load a class to show.
INFO  2013-01-24 16:26:51,086 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-24 16:26:52,365 ===> Correct cases: 27.777779%. You can now load a class to show.
INFO  2013-01-24 16:26:52,365 ===> Correct cases: 27.777779%. You can now load a class to show.
INFO  2013-01-24 16:42:03,662 ===> Inductive: loading DEMOSPONGIAE_280_DATASET
INFO  2013-01-24 16:42:18,489 ===> #Cases: 238 Type: demospongiae
INFO  2013-01-24 16:42:23,967 ===> Correct cases: 35.714287%. You can now load a class to show.
INFO  2013-01-24 16:42:23,967 ===> Correct cases: 35.714287%. You can now load a class to show.
INFO  2013-01-24 16:43:54,442 ===> Inductive: loading CARS_DATASET
INFO  2013-01-24 16:44:02,664 ===> Inductive: loading UNCLE_DATASET
INFO  2013-01-24 16:44:04,904 ===> #Cases: 10 Type: uncle
INFO  2013-01-24 16:44:06,007 ===> Correct cases: 50.0%. You can now load a class to show.
INFO  2013-01-24 16:44:06,007 ===> Correct cases: 50.0%. You can now load a class to show.
INFO  2013-01-24 16:44:11,991 ===> #Cases: 10 Type: uncle
INFO  2013-01-24 16:44:12,768 ===> Correct cases: 50.0%. You can now load a class to show.
INFO  2013-01-24 16:44:12,768 ===> Correct cases: 50.0%. You can now load a class to show.
INFO  2013-01-24 16:44:24,771 ===> Inductive: loading TRAINS_82_DATASET
INFO  2013-01-24 16:44:28,079 ===> #Cases: 69 Type: trains
INFO  2013-01-24 16:44:29,068 ===> Correct cases: 46.153847%. You can now load a class to show.
INFO  2013-01-24 16:44:29,068 ===> Correct cases: 46.153847%. You can now load a class to show.
INFO  2013-01-24 16:44:41,793 ===> #Cases: 69 Type: trains
INFO  2013-01-24 16:44:45,764 ===> Correct cases: 38.46154%. You can now load a class to show.
INFO  2013-01-24 16:44:45,764 ===> Correct cases: 38.46154%. You can now load a class to show.
INFO  2013-01-24 16:45:28,470 ===> Inductive: loading UNCLE_DATASET
INFO  2013-01-24 16:45:35,950 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-24 16:45:42,768 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-24 16:45:43,553 ===> Correct cases: 22.222223%. You can now load a class to show.
INFO  2013-01-24 16:45:43,553 ===> Correct cases: 22.222223%. You can now load a class to show.
INFO  2013-01-24 16:46:10,095 ===> Inductive: loading RIU_STORIES
INFO  2013-01-24 16:46:12,999 ===> #Cases: 3 Type: riu-stories
INFO  2013-01-24 16:46:13,976 ===> Correct cases: 0.0%. You can now load a class to show.
INFO  2013-01-24 16:46:13,976 ===> Correct cases: 0.0%. You can now load a class to show.
INFO  2013-01-24 16:49:44,410 ===> Inductive: loading FINANCIAL 
INFO  2013-01-24 16:49:49,033 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-24 16:49:55,559 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-24 16:50:00,577 ===> Correct cases: 33.333336%. You can now load a class to show.
INFO  2013-01-24 16:50:00,577 ===> Correct cases: 33.333336%. You can now load a class to show.
INFO  2013-01-24 16:51:31,321 ===> Loading UNCLE_DATASET ...
INFO  2013-01-24 16:51:31,639 ===> OK
INFO  2013-01-24 16:51:33,869 ===> Case e7
INFO  2013-01-24 16:51:41,185 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-24 16:51:48,285 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-24 16:51:51,313 ===> Correct cases: 27.777779%. You can now load a class to show.
INFO  2013-01-24 16:51:51,313 ===> Correct cases: 27.777779%. You can now load a class to show.
INFO  2013-01-25 10:00:51,103 ===> Lazy methods: loading CARS_DATASET
INFO  2013-01-25 10:01:15,446 ===> Case [car-problem-1013] is from class [acc] according to LID
INFO  2013-01-25 10:01:21,691 ===> Lazy methods: loading RIU_STORIES
INFO  2013-01-25 10:01:22,456 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 10:01:26,011 ===> Lazy methods: loading UNCLE_DATASET
INFO  2013-01-25 10:01:32,375 ===> Case [e12] is from class [is-not-uncle] according to KNN
INFO  2013-01-25 10:01:37,236 ===> Case [e12] is from class [is-not-uncle] according to RefinementLID
INFO  2013-01-25 10:04:35,115 ===> Case e12
INFO  2013-01-25 10:04:39,660 ===> Case [e12] is from class [is-not-uncle] according to KNN
INFO  2013-01-25 10:04:43,907 ===> Case [e12] is from class [is-not-uncle] according to KNN
INFO  2013-01-25 10:04:52,119 ===> Case [e12] is from class [is-not-uncle] according to RefinementLID
INFO  2013-01-25 10:05:05,541 ===> Lazy methods: loading MUTAGENESIS
INFO  2013-01-25 10:05:26,583 ===> Lazy methods: loading RIU_STORIES
INFO  2013-01-25 10:05:27,573 ===> Lazy methods: loading TOXICOLOGY_DATASET_MMICE 
INFO  2013-01-25 10:33:33,752 ===> Lazy methods: loading TOXICOLOGY_DATASET_FMICE 
INFO  2013-01-25 10:34:08,210 ===> Case [tr-santi-433] is from class [positive] according to LID
INFO  2013-01-25 10:34:11,901 ===> Lazy methods: loading TRAINS_82_DATASET
INFO  2013-01-25 10:34:20,246 ===> Case [train-problem-26] is from class [west] according to LID
INFO  2013-01-25 10:41:26,392 ===> Inductive: loading UNCLE_DATASET
INFO  2013-01-25 10:41:30,587 ===> #Cases: 10 Type: uncle
INFO  2013-01-25 10:41:31,560 ===> Accuracy: 100%. You can now load a class to show.
INFO  2013-01-25 10:41:31,560 ===> Accuracy: 100%. You can now load a class to show.
INFO  2013-01-25 10:41:34,828 ===> Inductive: loading TRAINS_82_DATASET
INFO  2013-01-25 10:41:38,260 ===> #Cases: 69 Type: trains
INFO  2013-01-25 10:41:39,160 ===> Accuracy: 30,77%. You can now load a class to show.
INFO  2013-01-25 10:41:39,160 ===> Accuracy: 30,77%. You can now load a class to show.
INFO  2013-01-25 10:53:40,923 ===> Inductive: loading DEMOSPONGIAE_280_DATASET
INFO  2013-01-25 10:53:53,331 ===> #Cases: 238 Type: demospongiae
INFO  2013-01-25 10:54:01,330 ===> Accuracy: 52,38%
INFO  2013-01-25 10:54:01,330 ===> Accuracy: 52,38%
INFO  2013-01-25 11:16:46,329 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 11:16:53,089 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-25 11:17:02,314 ===> Accuracy: 27,78%
INFO  2013-01-25 11:17:02,315 ===> Accuracy: 27,78%
INFO  2013-01-25 11:17:05,790 ===> Accuracy: 27,78%
INFO  2013-01-25 11:17:05,790 ===> Accuracy: 27,78%
INFO  2013-01-25 11:17:38,394 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 11:17:46,269 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-25 11:17:47,073 ===> Accuracy: 27,78%
INFO  2013-01-25 11:17:47,073 ===> Accuracy: 27,78%
INFO  2013-01-25 11:17:50,128 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-25 11:17:51,523 ===> Accuracy: 27,78%
INFO  2013-01-25 11:17:51,523 ===> Accuracy: 27,78%
INFO  2013-01-25 11:17:54,549 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-25 11:17:56,191 ===> Accuracy: 27,78%
INFO  2013-01-25 11:17:56,192 ===> Accuracy: 27,78%
INFO  2013-01-25 11:18:01,501 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-25 11:18:02,255 ===> Accuracy: 16,67%
INFO  2013-01-25 11:18:02,255 ===> Accuracy: 16,67%
INFO  2013-01-25 11:19:38,051 ===> Lazy methods: loading UNCLE_DATASET
INFO  2013-01-25 11:19:46,983 ===> Case [e1] is from class [is-not-uncle] according to KNN
INFO  2013-01-25 11:19:54,471 ===> Case [e12] is from class [is-not-uncle] according to LID
INFO  2013-01-25 11:20:06,649 ===> Case e4
INFO  2013-01-25 11:20:07,504 ===> Case e12
INFO  2013-01-25 11:32:39,653 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 11:54:47,605 ===> Lazy methods: loading UNCLE_DATASET
INFO  2013-01-25 11:54:52,126 ===> Case [e4] is from class [is-not-uncle] according to LID
INFO  2013-01-25 11:55:03,039 ===> Case [e4] is from class [is-not-uncle] according to LID
INFO  2013-01-25 11:59:07,482 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 11:59:21,643 ===> Case [sp-31] is from class [astrophorida] according to LID
INFO  2013-01-25 11:59:27,040 ===> Case [sp-31] is from class [astrophorida] according to LID
INFO  2013-01-25 11:59:28,957 ===> Case sp-112
INFO  2013-01-25 11:59:30,327 ===> Case [sp-31] is from class [astrophorida] according to LID
INFO  2013-01-25 11:59:31,832 ===> Case sp-112
INFO  2013-01-25 11:59:33,669 ===> Case [sp-31] is from class [astrophorida] according to LID
INFO  2013-01-25 11:59:35,070 ===> Case sp-13
INFO  2013-01-25 12:02:06,123 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 12:02:12,394 ===> Case [sp-240] is from class [astrophorida] according to LID
INFO  2013-01-25 12:02:14,102 ===> Case sp-240
INFO  2013-01-25 12:02:15,522 ===> Case [sp-109] is from class [astrophorida] according to LID
INFO  2013-01-25 12:02:16,872 ===> Case sp-109
INFO  2013-01-25 12:02:18,979 ===> Case [sp-9] is from class [astrophorida] according to LID
INFO  2013-01-25 12:02:20,461 ===> Case sp-9
INFO  2013-01-25 12:03:52,706 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 12:03:58,660 ===> Case [sp-18] is from class [astrophorida] according to KNN
INFO  2013-01-25 12:04:01,295 ===> Case sp-18
INFO  2013-01-25 12:04:03,671 ===> Case [sp-129] is from class [axinellida] according to LID
INFO  2013-01-25 12:04:05,082 ===> Case sp-129
INFO  2013-01-25 12:04:06,661 ===> Case [sp-15] is from class [axinellida] according to LID
INFO  2013-01-25 12:04:08,407 ===> Case sp-15
INFO  2013-01-25 12:05:41,472 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 12:05:51,109 ===> Case [sp-23] is from class [axinellida] according to LID
INFO  2013-01-25 12:05:53,360 ===> Case sp-23
INFO  2013-01-25 12:08:15,149 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 12:08:21,019 ===> Case [sp-101] is from class [astrophorida] according to LID
INFO  2013-01-25 12:08:23,692 ===> Case sp-101
INFO  2013-01-25 12:09:23,167 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
ERROR 2013-01-25 12:09:28,699 ===> Error: java.lang.NullPointerException
INFO  2013-01-25 12:09:28,700 ===> Case sp-102
INFO  2013-01-25 12:10:11,475 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 12:10:16,395 ===> Case sp-129
INFO  2013-01-25 12:10:19,271 ===> Case sp-118
INFO  2013-01-25 12:10:20,260 ===> Case sp-118
ERROR 2013-01-25 12:10:22,881 ===> Error: java.lang.NullPointerException
INFO  2013-01-25 12:29:18,975 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 12:29:24,288 ===> Case sp-221
INFO  2013-01-25 12:29:25,139 ===> Case sp-221
INFO  2013-01-25 12:29:26,574 ===> Case [sp-221] is from class [axinellida] according to LID
INFO  2013-01-25 12:31:17,541 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
ERROR 2013-01-25 12:31:23,287 ===> Error: java.lang.NullPointerException
INFO  2013-01-25 12:31:23,289 ===> Case sp-110
INFO  2013-01-25 12:31:46,217 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 12:31:51,365 ===> Case [sp-134] is from class [astrophorida] according to LID
INFO  2013-01-25 12:31:53,009 ===> Case sp-134
INFO  2013-01-25 12:31:54,294 ===> Case [sp-214] is from class [astrophorida] according to LID
INFO  2013-01-25 12:31:55,368 ===> Case sp-214
INFO  2013-01-25 12:31:57,274 ===> Case [sp-4] is from class [astrophorida] according to LID
INFO  2013-01-25 12:31:58,371 ===> Case sp-4
ERROR 2013-01-25 12:34:50,492 ===> Error: java.lang.NullPointerException
INFO  2013-01-25 12:34:50,493 ===> Case sp-245
INFO  2013-01-25 12:35:18,889 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
ERROR 2013-01-25 12:35:24,165 ===> Error: java.lang.NullPointerException
INFO  2013-01-25 12:35:24,166 ===> Case sp-122
INFO  2013-01-25 12:36:02,956 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-25 12:36:08,331 ===> Case [sp-246] is from class [astrophorida] according to LID
INFO  2013-01-25 12:36:10,600 ===> Case sp-246
INFO  2013-01-28 10:16:55,842 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 10:17:06,485 ===> Case [sp-18] is from class [axinellida] according to LID
INFO  2013-01-28 10:17:08,319 ===> Case sp-18
INFO  2013-01-28 10:18:09,001 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 10:18:14,633 ===> Case [sp-22] is from class [hadromerida] according to LID
INFO  2013-01-28 10:18:16,465 ===> Case sp-22
INFO  2013-01-28 10:47:38,261 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 10:47:45,760 ===> Case [sp-22] is from class [axinellida] according to LID
INFO  2013-01-28 10:47:49,708 ===> Case sp-22
INFO  2013-01-28 10:47:51,220 ===> Lazy methods: loading UNCLE_DATASET
INFO  2013-01-28 10:47:55,627 ===> Case [e9] is from class [is-not-uncle] according to LID
INFO  2013-01-28 10:49:20,254 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 10:49:25,662 ===> Case [sp-110] is from class [hadromerida] according to LID
INFO  2013-01-28 10:49:27,152 ===> Case sp-110
INFO  2013-01-28 10:51:24,613 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 10:51:30,077 ===> Case [sp-9] is from class [axinellida] according to LID
INFO  2013-01-28 10:51:31,419 ===> Case sp-9
INFO  2013-01-28 10:51:33,928 ===> Case [sp-37] is from class [axinellida] according to LID
INFO  2013-01-28 10:51:35,078 ===> Case sp-37
INFO  2013-01-28 10:51:36,524 ===> Case [sp-120] is from class [axinellida] according to LID
INFO  2013-01-28 10:51:37,653 ===> Case sp-120
INFO  2013-01-28 10:52:43,836 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 10:52:49,551 ===> Case [sp-14] is from class [hadromerida] according to LID
INFO  2013-01-28 10:52:50,731 ===> Case sp-14
INFO  2013-01-28 10:53:02,030 ===> Case [sp-13] is from class [hadromerida] according to RefinementLID
INFO  2013-01-28 10:53:04,054 ===> Case sp-13
INFO  2013-01-28 11:00:41,944 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 11:00:48,025 ===> Case [sp-21] is from class [axinellida] according to LID
INFO  2013-01-28 11:00:52,478 ===> Case sp-21
INFO  2013-01-28 11:02:18,155 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 11:02:24,864 ===> Case [sp-245] is from class [astrophorida] according to LID
INFO  2013-01-28 11:02:26,227 ===> Case sp-245
INFO  2013-01-28 11:02:28,071 ===> Case [sp-237] is from class [astrophorida] according to LID
INFO  2013-01-28 11:02:29,336 ===> Case sp-237
INFO  2013-01-28 11:02:30,599 ===> Case [sp-227] is from class [astrophorida] according to LID
INFO  2013-01-28 11:02:31,643 ===> Case sp-227
INFO  2013-01-28 11:02:33,416 ===> Case [sp-110] is from class [astrophorida] according to LID
INFO  2013-01-28 11:02:34,518 ===> Case sp-110
INFO  2013-01-28 11:02:36,904 ===> Case [sp-118] is from class [hadromerida] according to RefinementLID
INFO  2013-01-28 11:02:38,387 ===> Case sp-118
INFO  2013-01-28 11:02:39,673 ===> Case [sp-16] is from class [hadromerida] according to RefinementLID
INFO  2013-01-28 11:02:40,652 ===> Case sp-16
INFO  2013-01-28 11:02:41,763 ===> Case [sp-21] is from class [hadromerida] according to RefinementLID
INFO  2013-01-28 11:02:42,766 ===> Case sp-21
INFO  2013-01-28 11:02:44,452 ===> Case [sp-216] is from class [hadromerida] according to RefinementLID
INFO  2013-01-28 11:02:45,558 ===> Case sp-216
INFO  2013-01-28 11:08:39,635 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 11:08:45,902 ===> Case [sp-6] is from class [hadromerida] according to LID
INFO  2013-01-28 11:08:47,166 ===> Case sp-6
INFO  2013-01-28 11:08:48,474 ===> Case [sp-222] is from class [hadromerida] according to LID
INFO  2013-01-28 11:08:49,823 ===> Case sp-222
INFO  2013-01-28 11:08:50,870 ===> Case [sp-27] is from class [hadromerida] according to LID
INFO  2013-01-28 11:08:51,933 ===> Case sp-27
INFO  2013-01-28 11:08:53,131 ===> Case [sp-102] is from class [hadromerida] according to LID
INFO  2013-01-28 11:08:54,171 ===> Case sp-102
INFO  2013-01-28 11:08:55,606 ===> Case [sp-8] is from class [hadromerida] according to LID
INFO  2013-01-28 11:08:56,627 ===> Case sp-8
INFO  2013-01-28 11:11:24,348 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-28 11:36:06,921 ===> Loading TRAINS_82_DATASET ...
INFO  2013-01-28 11:36:07,637 ===> OK
INFO  2013-01-28 11:45:19,492 ===> Loading UNCLE_DATASET ...
INFO  2013-01-28 11:45:19,797 ===> OK
INFO  2013-01-28 11:45:30,161 ===> Case e7
INFO  2013-01-28 11:46:33,271 ===> Loading UNCLE_DATASET ...
INFO  2013-01-28 11:46:33,569 ===> OK
INFO  2013-01-28 12:48:38,307 ===> Loading UNCLE_DATASET ...
INFO  2013-01-28 12:48:38,627 ===> OK
INFO  2013-01-28 13:08:24,373 ===> Loading UNCLE_DATASET ...
INFO  2013-01-28 13:08:24,685 ===> OK
INFO  2013-01-29 10:41:20,525 ===> Loading TRAINS_DATASET ...
INFO  2013-01-29 10:41:20,990 ===> OK
INFO  2013-01-29 10:45:10,132 ===> Feature Term 1 SUBSUMES Feature Term 2
INFO  2013-01-29 10:46:17,877 ===> Feature Term 1 SUBSUMES Feature Term 2
INFO  2013-01-29 10:46:21,012 ===> Feature Term 1 SUBSUMES Feature Term 2
INFO  2013-01-29 14:14:33,964 ===> Lazy methods: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-29 14:14:40,038 ===> Case [sp-249] is from class [hadromerida] according to LID
INFO  2013-01-29 14:14:41,528 ===> Case sp-249
INFO  2013-01-29 14:14:46,318 ===> Case [sp-242] is from class [axinellida] according to RefinementLID
INFO  2013-01-29 14:14:47,647 ===> Case sp-242
INFO  2013-01-29 14:17:54,013 ===> Lazy methods: loading FINANCIAL 
